id;title;hotelstars;timezone;price;duration;climate;country;countryId;temperatura;landscape;type;transport
110;Dom Uzdrowiskowy Ewa Medical & SPA;4;1;360;3;Morski;Polska;1;22;7;3;1
111;Ośrodek Konferencyjno-Wypoczynkowy Ziemowit;3;1;492;4;Morski;Polska;1;22;7;1;1
112;Hotel Andon Lapa;4;2;3479;15;Śródziemnomorski;Albania;17;29;3;1;3
113;Hotel Sandy Beach Resort;4;2;2339;8;Śródziemnomorski;Albania;17;29;3;1;3
114;Hotel Sandy Beach Resort;4;2;3699;15;Śródziemnomorski;Albania;17;29;3;1;3
115;Bliss Marina Beach Resort;4;2;2150;8;Śródziemnomorski;Egipt;21;28;1;1;3
116;Jaz Grand Marsa;5;2;2156;6;Śródziemnomorski;Egipt;21;28;1;1;3
117;Ali Baba Palace;4;2;2162;8;Śródziemnomorski;Egipt;21;28;1;1;3
118;Faraana Reef Resort;4;2;2172;8;Śródziemnomorski;Egipt;21;28;1;1;3
119;Sea Star Beaurivage;4;2;2174;8;Śródziemnomorski;Egipt;21;28;1;1;3
120;Bliss Abo Nawas Resort;4;2;2222;8;Śródziemnomorski;Egipt;21;28;1;1;3
121;Aladdin Beach Resort;4;2;2332;8;Śródziemnomorski;Egipt;21;28;1;1;3
122;Hotel Krynica;4;1;459;3;Morski;Polska;1;22;7;3;1
123;Hotel Saint George Ski & Holiday;4;2;799;4;Kontynentalny;Bułgaria;9;30;7;3;1
124;Aries Hotel & Spa Wisła;4;1;1059;4;Morski;Polska;1;22;7;3;1
125;Hotel Evelina Palace;4;2;779;4;Kontynentalny;Bułgaria;9;30;7;3;1
126;Mountain Romance Family Hotel & Spa;3;2;779;4;Kontynentalny;Bułgaria;9;30;7;3;1
127;Hotel Malikia Resort Abu Dabbab;5;2;3419;11;Śródziemnomorski;Egipt;21;28;2;3;3
128;Osada Górski Potok;4;1;560;5;Morski;Polska;1;22;7;1;1
129;Ośrodek Konferencyjno-Wypoczynkowy Savoy;3;1;129;2;Morski;Polska;1;22;5;1;1
130;Hotel Vienna House Easy Cracow;3;1;129;2;Morski;Polska;1;22;9;1;1
131;Centrum Wypoczynkowo – Konferencyjne Trzy Jeziora;3;1;459;4;Morski;Polska;1;22;6;1;1
132;Arche Hotel Lublin;3;1;299;3;Morski;Polska;1;22;9;1;1
133;Dom Wczasowy Teresa;3;1;189;3;Morski;Polska;1;22;7;1;1
